D,U,V
0,-57,-19
2,-57,-18
2,-57,-17
0,-57,-16
0,-56,-60
2,-56,-59
248,-56,-58
351,-56,-57
381,-56,-56
377,-56,-55
366,-56,-54
340,-56,-53
271,-56,-52
263,-56,-51
267,-56,-50
264,-56,-49
260,-56,-48
260,-56,-47
259,-56,-46
256,-56,-45
259,-56,-44
256,-56,-43
255,-56,-42
252,-56,-41
244,-56,-40
240,-56,-39
233,-56,-38
225,-56,-37
205,-56,-36
182,-56,-35
132,-56,-34
59,-56,-33
34,-56,-32
2,-56,-31
2,-56,-30
2,-56,-29
0,-56,-28
0,-56,-27
0,-56,-26
2,-56,-25
2,-56,-24
2,-56,-23
0,-56,-22
2,-56,-21
2,-56,-20
2,-56,-19
0,-56,-18
0,-56,-17
2,-56,-16
2,-55,-60
0,-55,-59
232,-55,-58
352,-55,-57
381,-55,-56
381,-55,-55
363,-55,-54
347,-55,-53
270,-55,-52
259,-55,-51
263,-55,-50
259,-55,-49
248,-55,-48
257,-55,-47
256,-55,-46
252,-55,-45
252,-55,-44
248,-55,-43
249,-55,-42
240,-55,-41
217,-55,-40
202,-55,-39
186,-55,-38
159,-55,-37
107,-55,-36
62,-55,-35
14,-55,-34
8,-55,-33
2,-55,-32
0,-55,-31
0,-55,-30
2,-55,-29
2,-55,-28
0,-55,-27
2,-55,-26
2,-55,-25
2,-55,-24
0,-55,-23
2,-55,-22
0,-55,-21
0,-55,-20
2,-55,-19
2,-55,-18
2,-55,-17
2,-55,-16
2,-54,-60
1,-54,-59
196,-54,-58
373,-54,-57
378,-54,-56
376,-54,-55
366,-54,-54
344,-54,-53
260,-54,-52
256,-54,-51
259,-54,-50
256,-54,-49
256,-54,-48
252,-54,-47
244,-54,-46
246,-54,-45
241,-54,-44
233,-54,-43
222,-54,-42
210,-54,-41
156,-54,-40
114,-54,-39
79,-54,-38
22,-54,-37
4,-54,-36
0,-54,-35
0,-54,-34
22,-54,-33
2,-54,-32
0,-54,-31
2,-54,-30
2,-54,-29
2,-54,-28
0,-54,-27
0,-54,-26
2,-54,-25
2,-54,-24
2,-54,-23
0,-54,-22
2,-54,-21
2,-54,-20
2,-54,-19
0,-54,-18
0,-54,-17
2,-54,-16
2,-53,-60
0,-53,-59
0,-53,-58
358,-53,-57
384,-53,-56
380,-53,-55
374,-53,-54
344,-53,-53
261,-53,-52
244,-53,-51
256,-53,-50
249,-53,-49
244,-53,-48
234,-53,-47
225,-53,-46
205,-53,-45
186,-53,-44
166,-53,-43
175,-53,-42
183,-53,-41
70,-53,-40
21,-53,-39
2,-53,-38
2,-53,-37
0,-53,-36
2,-53,-35
2,-53,-34
16,-53,-33
0,-53,-32
2,-53,-31
2,-53,-30
2,-53,-29
0,-53,-28
2,-53,-27
2,-53,-26
2,-53,-25
0,-53,-24
0,-53,-23
2,-53,-22
2,-53,-21
2,-53,-20
0,-53,-19
0,-53,-18
2,-53,-17
2,-53,-16
2,-52,-60
2,-52,-59
54,-52,-58
362,-52,-57
384,-52,-56
381,-52,-55
348,-52,-54
344,-52,-53
259,-52,-52
237,-52,-51
252,-52,-50
236,-52,-49
206,-52,-48
190,-52,-47
145,-52,-46
122,-52,-45
94,-52,-44
152,-52,-43
218,-52,-42
222,-52,-41
82,-52,-40
46,-52,-39
29,-52,-38
0,-52,-37
2,-52,-36
2,-52,-35
0,-52,-34
78,-52,-33
2,-52,-32
2,-52,-31
2,-52,-30
0,-52,-29
2,-52,-28
2,-52,-27
2,-52,-26
0,-52,-25
2,-52,-24
2,-52,-23
2,-52,-22
0,-52,-21
2,-52,-20
2,-52,-19
2,-52,-18
2,-52,-17
0,-52,-16
0,-51,-60
2,-51,-59
34,-51,-58
362,-51,-57
388,-51,-56
384,-51,-55
367,-51,-54
332,-51,-53
263,-51,-52
229,-51,-51
225,-51,-50
203,-51,-49
119,-51,-48
66,-51,-47
42,-51,-46
22,-51,-45
24,-51,-44
16,-51,-43
18,-51,-42
30,-51,-41
42,-51,-40
46,-51,-39
74,-51,-38
70,-51,-37
78,-51,-36
50,-51,-35
50,-51,-34
114,-51,-33
8,-51,-32
4,-51,-31
0,-51,-30
1,-51,-29
2,-51,-28
2,-51,-27
0,-51,-26
0,-51,-25
1,-51,-24
2,-51,-23
2,-51,-22
0,-51,-21
2,-51,-20
2,-51,-19
2,-51,-18
2,-51,-17
2,-51,-16
2,-50,-60
121,-50,-59
32,-50,-58
344,-50,-57
388,-50,-56
386,-50,-55
356,-50,-54
329,-50,-53
264,-50,-52
170,-50,-51
134,-50,-50
95,-50,-49
62,-50,-48
72,-50,-47
66,-50,-46
82,-50,-45
72,-50,-44
62,-50,-43
3,-50,-42
2,-50,-41
42,-50,-40
86,-50,-39
86,-50,-38
94,-50,-37
103,-50,-36
103,-50,-35
96,-50,-34
103,-50,-33
107,-50,-32
103,-50,-31
105,-50,-30
107,-50,-29
118,-50,-28
111,-50,-27
116,-50,-26
108,-50,-25
94,-50,-24
99,-50,-23
103,-50,-22
106,-50,-21
90,-50,-20
108,-50,-19
98,-50,-18
119,-50,-17
111,-50,-16
104,-49,-60
95,-49,-59
66,-49,-58
357,-49,-57
384,-49,-56
384,-49,-55
362,-49,-54
325,-49,-53
241,-49,-52
174,-49,-51
114,-49,-50
66,-49,-49
48,-49,-48
50,-49,-47
67,-49,-46
50,-49,-45
62,-49,-44
62,-49,-43
66,-49,-42
62,-49,-41
74,-49,-40
79,-49,-39
73,-49,-38
78,-49,-37
86,-49,-36
82,-49,-35
84,-49,-34
86,-49,-33
82,-49,-32
88,-49,-31
87,-49,-30
79,-49,-29
86,-49,-28
82,-49,-27
84,-49,-26
70,-49,-25
90,-49,-24
79,-49,-23
86,-49,-22
84,-49,-21
76,-49,-20
86,-49,-19
72,-49,-18
78,-49,-17
78,-49,-16
80,-48,-60
68,-48,-59
55,-48,-58
335,-48,-57
388,-48,-56
388,-48,-55
366,-48,-54
318,-48,-53
233,-48,-52
179,-48,-51
142,-48,-50
89,-48,-49
38,-48,-48
46,-48,-47
38,-48,-46
43,-48,-45
47,-48,-44
50,-48,-43
36,-48,-42
52,-48,-41
54,-48,-40
62,-48,-39
66,-48,-38
66,-48,-37
54,-48,-36
62,-48,-35
58,-48,-34
66,-48,-33
50,-48,-32
63,-48,-31
70,-48,-30
56,-48,-29
55,-48,-28
66,-48,-27
62,-48,-26
70,-48,-25
62,-48,-24
63,-48,-23
32,-48,-22
66,-48,-21
59,-48,-20
42,-48,-19
62,-48,-18
58,-48,-17
51,-48,-16
62,-47,-60
31,-47,-59
0,-47,-58
317,-47,-57
388,-47,-56
384,-47,-55
363,-47,-54
305,-47,-53
230,-47,-52
187,-47,-51
158,-47,-50
123,-47,-49
54,-47,-48
0,-47,-47
2,-47,-46
2,-47,-45
2,-47,-44
2,-47,-43
0,-47,-42
2,-47,-41
2,-47,-40
0,-47,-39
10,-47,-38
13,-47,-37
13,-47,-36
10,-47,-35
8,-47,-34
39,-47,-33
5,-47,-32
14,-47,-31
6,-47,-30
21,-47,-29
12,-47,-28
26,-47,-27
22,-47,-26
10,-47,-25
21,-47,-24
26,-47,-23
12,-47,-22
30,-47,-21
25,-47,-20
21,-47,-19
18,-47,-18
21,-47,-17
21,-47,-16
35,-46,-60
1,-46,-59
2,-46,-58
314,-46,-57
388,-46,-56
388,-46,-55
373,-46,-54
291,-46,-53
233,-46,-52
215,-46,-51
183,-46,-50
159,-46,-49
111,-46,-48
0,-46,-47
2,-46,-46
0,-46,-45
0,-46,-44
2,-46,-43
2,-46,-42
2,-46,-41
2,-46,-40
2,-46,-39
0,-46,-38
3,-46,-37
2,-46,-36
0,-46,-35
0,-46,-34
2,-46,-33
2,-46,-32
2,-46,-31
0,-46,-30
0,-46,-29
2,-46,-28
2,-46,-27
0,-46,-26
0,-46,-25
2,-46,-24
2,-46,-23
2,-46,-22
0,-46,-21
2,-46,-20
2,-46,-19
2,-46,-18
0,-46,-17
2,-46,-16
2,-45,-60
0,-45,-59
0,-45,-58
360,-45,-57
391,-45,-56
384,-45,-55
377,-45,-54
306,-45,-53
248,-45,-52
217,-45,-51
202,-45,-50
163,-45,-49
85,-45,-48
2,-45,-47
2,-45,-46
2,-45,-45
0,-45,-44
0,-45,-43
2,-45,-42
3,-45,-41
2,-45,-40
0,-45,-39
2,-45,-38
2,-45,-37
2,-45,-36
0,-45,-35
0,-45,-34
2,-45,-33
2,-45,-32
2,-45,-31
2,-45,-30
2,-45,-29
2,-45,-28
2,-45,-27
0,-45,-26
2,-45,-25
0,-45,-24
2,-45,-23
0,-45,-22
2,-45,-21
2,-45,-20
2,-45,-19
0,-45,-18
0,-45,-17
2,-45,-16
0,-44,-60
0,-44,-59
3,-44,-58
377,-44,-57
391,-44,-56
388,-44,-55
381,-44,-54
307,-44,-53
256,-44,-52
217,-44,-51
190,-44,-50
187,-44,-49
86,-44,-48
2,-44,-47
